Percentage bonds broken, Iteration number
0.0195639,15500
0.0195639,15550
0.0195639,15600
0.0195639,15650
0.0195639,15700
0.0195639,15750
0.0195639,15800
0.0195639,15850
0.0195639,15900
0.0195639,15950
0.0195639,16000
0.0195639,16050
0.0195639,16100
0.0195639,16150
0.0195639,16200
0.0195639,16250
0.0195639,16300
0.0195639,16350
0.0195639,16400
0.0195639,16450
0.0195639,16500
0.0195639,16550
0.0195639,16600
0.0195639,16650
0.0195639,16700
0.0195639,16750
0.0195639,16800
0.0195639,16850
0.0195639,16900
0.0195639,16950
0.0195639,17000
0.0195639,17050
0.0195639,17100
0.0195639,17150
0.0195639,17200
0.0195639,17250
0.0195639,17300
0.0195639,17350
0.0195639,17400
0.0195639,17450
0.0195639,17500
0.0195639,17550
0.0195639,17600
0.0195639,17650
0.0195639,17700
0.0195639,17750
0.0195639,17800
0.0195639,17850
0.0195639,17900
0.0195639,17950
0.0195639,18000
0.0195639,18050
0.0195639,18100
0.0195639,18150
0.0195639,18200
0.0195639,18250
0.0195639,18300
0.0195639,18350
0.0195639,18400
0.0195639,18450
0.0195639,18500
0.0195639,18550
0.0195639,18600
0.0195639,18650
0.0195639,18700
0.0195639,18750
0.0195639,18800
0.0195639,18850
0.0195639,18900
0.0195639,18950
0.0195639,19000
0.0195639,19050
0.0195639,19100
0.0195639,19150
0.0195639,19200
0.0195639,19250
0.0195639,19300
0.0195639,19350
0.0195639,19400
0.0195639,19450
0.0195639,19500
0.0195639,19550
0.0195639,19600
0.0195639,19650
0.0195639,19700
0.0195639,19750
0.0195639,19800
0.0195639,19850
0.0195639,19900
0.0195639,19950
0.0195639,20000
