Average node displacement, Average absolute node displacement, Iteration number
-2.76797e-06,2.76797e-06,8050
-2.76795e-06,2.76795e-06,8100
-2.76744e-06,2.76744e-06,8150
-2.76316e-06,2.76316e-06,8200
-2.76884e-06,2.76884e-06,8250
-2.76149e-06,2.76149e-06,8300
-2.76397e-06,2.76397e-06,8350
-2.76791e-06,2.76791e-06,8400
-2.76815e-06,2.76815e-06,8450
-2.77391e-06,2.77391e-06,8500
-2.76331e-06,2.76331e-06,8550
-2.76708e-06,2.76708e-06,8600
-2.7637e-06,2.7637e-06,8650
-2.7696e-06,2.7696e-06,8700
-2.76397e-06,2.76397e-06,8750
-2.77319e-06,2.77319e-06,8800
-2.76377e-06,2.76377e-06,8850
-2.77024e-06,2.77024e-06,8900
-2.76802e-06,2.76802e-06,8950
-2.76642e-06,2.76642e-06,9000
-2.77267e-06,2.77267e-06,9050
-2.7592e-06,2.7592e-06,9100
-2.76063e-06,2.76063e-06,9150
-2.76759e-06,2.76759e-06,9200
-2.76467e-06,2.76467e-06,9250
-2.76247e-06,2.76247e-06,9300
-2.77097e-06,2.77097e-06,9350
-2.76815e-06,2.76815e-06,9400
-2.77074e-06,2.77074e-06,9450
-2.76159e-06,2.76159e-06,9500
-2.7655e-06,2.7655e-06,9550
-2.76569e-06,2.76569e-06,9600
-2.76874e-06,2.76874e-06,9650
-2.76342e-06,2.76342e-06,9700
-2.76784e-06,2.76784e-06,9750
-2.76761e-06,2.76761e-06,9800
-2.76992e-06,2.76992e-06,9850
-2.76084e-06,2.76084e-06,9900
-2.76445e-06,2.76445e-06,9950
-2.76349e-06,2.76349e-06,10000
-2.76906e-06,2.76906e-06,10050
-2.77258e-06,2.77258e-06,10100
-2.76884e-06,2.76884e-06,10150
-2.76187e-06,2.76187e-06,10200
-2.77517e-06,2.77517e-06,10250
-2.76404e-06,2.76404e-06,10300
-2.76681e-06,2.76681e-06,10350
-2.76538e-06,2.76538e-06,10400
-2.761e-06,2.761e-06,10450
-2.76074e-06,2.76074e-06,10500
-2.76604e-06,2.76604e-06,10550
-2.76679e-06,2.76679e-06,10600
-2.7677e-06,2.7677e-06,10650
-2.77033e-06,2.77033e-06,10700
-2.76536e-06,2.76536e-06,10750
-2.76425e-06,2.76425e-06,10800
-2.76805e-06,2.76805e-06,10850
-2.77114e-06,2.77114e-06,10900
-2.76916e-06,2.76916e-06,10950
-2.77262e-06,2.77262e-06,11000
-2.76685e-06,2.76685e-06,11050
-2.76155e-06,2.76155e-06,11100
-2.77262e-06,2.77262e-06,11150
-2.76401e-06,2.76401e-06,11200
-2.77197e-06,2.77197e-06,11250
-2.76255e-06,2.76255e-06,11300
-2.76959e-06,2.76959e-06,11350
-2.76457e-06,2.76457e-06,11400
-2.76695e-06,2.76695e-06,11450
-2.76974e-06,2.76974e-06,11500
-2.76983e-06,2.76983e-06,11550
